(((6, 1), (3, 1)), 3)
(((14, 1), (5, 1)), 9)
(((7, 5), (1, 1)), 36)
(((18, 2), (3, 1)), 16)
(((13, 5), (14, 5)), 1)FOOD
(((18, 3), (1, 5)), 23)
(((11, 3), (4, 1)), 27)
(((13, 3), (3, 1)), 26)
(((14, 3), (3, 1)), 25)
(((17, 1), (13, 4)), 13)
(((14, 3), (4, 4)), 11)
(((18, 3), (13, 4)), 10)
(((5, 3), (14, 5)), 11)
(((18, 2), (1, 4)), 23)
(((10, 4), (14, 5)), 5)FOOD
(((9, 1), (1, 5)), 34)
(((1, 3), (13, 4)), 13)
(((16, 3), (13, 4)), 4)
(((17, 5), (1, 4)), 19)
(((9, 5), (5, 1)), 30)
(((13, 4), (1, 4)), 14)FOOD
(((9, 5), (2, 1)), 33)
(((12, 5), (5, 1)), 27)
(((4, 4), (7, 4)), 5)FOOD
(((12, 1), (13, 4)), 18)
(((18, 5), (10, 4)), 11)
(((9, 3), (1, 5)), 10)Position
(((6, 3), (10, 4)), 5)
(((3, 1), (4, 4)), 36)FOOD
(((3, 3), (3, 1)), 36)
(((18, 2), (14, 5)), 13)
(((6, 1), (5, 1)), 1)
(((15, 3), (10, 4)), 6)
(((13, 1), (10, 4)), 20)
(((8, 5), (2, 1)), 34)
(((13, 3), (13, 4)), 1)
(((1, 3), (7, 4)), 7)
(((11, 5), (4, 4)), 8)
(((18, 4), (13, 4)), 9)
(((18, 5), (4, 1)), 18)
(((10, 3), (10, 4)), 1)
(((12, 5), (14, 5)), 2)
(((18, 4), (13, 5)), 10)
(((10, 3), (7, 4)), 4)
(((18, 3), (10, 4)), 13)
(((14, 1), (7, 4)), 22)
(((8, 3), (4, 4)), 5)
(((17, 1), (10, 4)), 16)
(((12, 5), (4, 1)), 28)
(((2, 3), (1, 1)), 39)
(((3, 1), (13, 5)), 28)FOOD
(((14, 1), (3, 1)), 11)
(((7, 5), (4, 4)), 4)
(((4, 4), (14, 5)), 11)FOOD
(((15, 3), (1, 5)), 16)
(((3, 3), (13, 4)), 11)
(((2, 1), (7, 4)), 34)FOOD
(((7, 5), (7, 4)), 1)
(((4, 4), (4, 1)), 35)FOOD
(((11, 3), (10, 4)), 2)
(((16, 3), (5, 1)), 21)
(((18, 3), (1, 4)), 22)
(((18, 1), (4, 1)), 14)
(((3, 3), (2, 1)), 37)
(((15, 3), (4, 4)), 12)
(((11, 5), (7, 4)), 5)
(((1, 4), (13, 5)), 13)FOOD
(((1, 3), (14, 5)), 15)
(((7, 1), (1, 5)), 36)
(((1, 5), (7, 4)), 7)FOOD
(((11, 1), (4, 4)), 28)
(((17, 1), (4, 4)), 22)
(((1, 1), (14, 5)), 31)FOOD
(((1, 5), (10, 4)), 10)FOOD
(((12, 5), (4, 4)), 9)
(((9, 5), (10, 4)), 2)
(((1, 4), (5, 1)), 37)FOOD
(((3, 5), (10, 4)), 8)
(((16, 5), (2, 1)), 22)
(((13, 5), (7, 4)), 7)FOOD
(((15, 1), (1, 1)), 14)
(((16, 5), (5, 1)), 19)
(((7, 3), (13, 4)), 7)
(((9, 5), (1, 1)), 34)
(((10, 4), (7, 4)), 5)FOOD
(((14, 3), (4, 1)), 24)
(((13, 5), (2, 1)), 29)FOOD
(((2, 5), (13, 4)), 12)
(((5, 3), (7, 4)), 3)
(((8, 1), (13, 4)), 22)
(((15, 1), (13, 4)), 15)
(((18, 1), (13, 4)), 12)
(((10, 3), (2, 1)), 30)
(((8, 3), (5, 1)), 29)
(((12, 3), (2, 1)), 28)
(((10, 3), (1, 1)), 31)
(((4, 1), (13, 4)), 26)FOOD
(((6, 1), (14, 5)), 26)
(((10, 4), (13, 5)), 4)FOOD
(((5, 3), (13, 5)), 10)
(((14, 5), (1, 4)), 14)FOOD
(((13, 4), (4, 1)), 26)FOOD
(((7, 4), (3, 1)), 33)FOOD
(((13, 5), (13, 5)), 0)FOOD
(((6, 5), (2, 1)), 36)
(((2, 5), (1, 1)), 41)
(((18, 5), (5, 1)), 17)
(((18, 1), (3, 1)), 15)
(((1, 5), (13, 5)), 12)FOOD
(((5, 5), (4, 1)), 35)
(((2, 3), (2, 1)), 38)
(((18, 3), (3, 1)), 17)
(((7, 4), (13, 4)), 8)FOOD
(((7, 4), (1, 5)), 7)FOOD
(((3, 1), (1, 5)), 40)FOOD
(((4, 1), (1, 5)), 39)FOOD
(((11, 1), (7, 4)), 25)
(((4, 1), (4, 1)), 0)FOOD
(((18, 3), (2, 1)), 18)
(((18, 5), (13, 4)), 8)
(((18, 4), (1, 5)), 22)
(((18, 3), (5, 1)), 15)
(((4, 4), (2, 1)), 37)FOOD
(((1, 4), (1, 4)), 0)FOOD
(((8, 1), (14, 5)), 24)
(((14, 1), (4, 4)), 25)
(((2, 1), (1, 1)), 1)FOOD
(((2, 1), (4, 4)), 37)FOOD
(((8, 1), (5, 1)), 3)
(((6, 3), (3, 1)), 33)
(((8, 3), (14, 5)), 8)
(((10, 3), (4, 4)), 7)
(((15, 1), (5, 1)), 10)
(((13, 1), (1, 4)), 29)
(((4, 3), (1, 4)), 4)
(((13, 5), (1, 5)), 12)FOOD
(((16, 3), (1, 4)), 16)
(((12, 3), (7, 4)), 6)
(((10, 5), (5, 1)), 29)
(((1, 3), (1, 1)), 40)
(((10, 3), (13, 5)), 5)
(((8, 5), (1, 4)), 8)
(((4, 5), (2, 1)), 38)
(((16, 5), (14, 5)), 8)
(((5, 5), (7, 4)), 3)
(((17, 1), (1, 4)), 25)
(((10, 4), (1, 5)), 10)FOOD
(((16, 5), (1, 5)), 19)
(((1, 3), (4, 4)), 4)
(((13, 5), (1, 1)), 30)FOOD
(((7, 1), (13, 4)), 23)
(((2, 5), (13, 5)), 11)
(((4, 5), (3, 1)), 37)
(((4, 4), (4, 4)), 0)FOOD
(((12, 5), (1, 1)), 31)
(((14, 1), (13, 5)), 17)
(((6, 1), (1, 4)), 36)
(((8, 3), (7, 4)), 2)
(((6, 3), (13, 4)), 8)
(((16, 5), (13, 5)), 7)
(((13, 4), (10, 4)), 5)FOOD
(((1, 1), (1, 1)), 0)FOOD
(((14, 5), (14, 5)), 0)FOOD
(((16, 4), (4, 4)), 14)
(((3, 3), (5, 1)), 34)
(((7, 1), (1, 1)), 6)
(((18, 1), (13, 5)), 13)
(((6, 3), (14, 5)), 10)
(((16, 1), (7, 4)), 20)
(((16, 3), (3, 1)), 23)
(((5, 5), (3, 1)), 36)
(((7, 1), (14, 5)), 25)
(((6, 3), (4, 1)), 32)
(((15, 1), (4, 1)), 11)
(((18, 1), (1, 5)), 25)
(((11, 1), (2, 1)), 9)
(((4, 3), (4, 1)), 34)
(((7, 1), (4, 1)), 3)
(((4, 1), (3, 1)), 1)FOOD
(((1, 5), (4, 4)), 4)FOOD
(((16, 5), (1, 4)), 18)
(((12, 1), (7, 4)), 24)
(((12, 3), (4, 1)), 26)
(((7, 1), (5, 1)), 2)
(((7, 5), (13, 5)), 6)
(((17, 5), (13, 4)), 7)
(((7, 1), (3, 1)), 4)
(((12, 1), (3, 1)), 9)
(((5, 3), (4, 1)), 33)
(((16, 1), (14, 5)), 16)
(((6, 3), (4, 4)), 3)
(((9, 5), (3, 1)), 32)
(((5, 5), (13, 4)), 9)
(((9, 1), (7, 4)), 27)
(((14, 3), (1, 5)), 15)
(((13, 5), (5, 1)), 26)FOOD
(((3, 3), (13, 5)), 12)
(((12, 3), (1, 1)), 29)
(((16, 1), (4, 1)), 12)
(((15, 1), (4, 4)), 24)
(((2, 5), (1, 5)), 1)
(((4, 5), (14, 5)), 10)
(((10, 1), (4, 1)), 6)
(((5, 1), (4, 4)), 34)FOOD
(((11, 1), (1, 1)), 10)
(((18, 4), (1, 4)), 21)
(((9, 1), (13, 5)), 22)
(((17, 5), (10, 4)), 10)
(((6, 5), (7, 4)), 2)
(((3, 1), (1, 4)), 39)FOOD
(((16, 1), (1, 4)), 26)
(((9, 5), (13, 4)), 5)
(((16, 1), (4, 4)), 23)
(((8, 5), (13, 4)), 6)
(((1, 1), (3, 1)), 2)FOOD
(((16, 4), (10, 4)), 8)
(((18, 4), (1, 1)), 20)
(((14, 1), (1, 4)), 28)
(((6, 3), (5, 1)), 31)
(((13, 3), (14, 5)), 3)
(((16, 5), (4, 4)), 15)
(((16, 4), (1, 1)), 24)
(((1, 5), (14, 5)), 13)FOOD
(((9, 1), (3, 1)), 6)
(((3, 3), (14, 5)), 13)
(((6, 1), (7, 4)), 30)
(((11, 5), (14, 5)), 3)
(((13, 4), (5, 1)), 25)FOOD
(((18, 3), (13, 5)), 11)
(((18, 4), (4, 1)), 17)
(((1, 3), (4, 1)), 37)
(((11, 5), (4, 1)), 29)
(((1, 3), (1, 5)), 2)
(((3, 3), (1, 1)), 38)
(((16, 4), (2, 1)), 23)
(((16, 3), (4, 4)), 13)
(((3, 1), (3, 1)), 0)FOOD
(((8, 5), (3, 1)), 33)
(((14, 5), (4, 4)), 11)FOOD
(((8, 1), (3, 1)), 5)
(((17, 5), (1, 1)), 22)
(((6, 5), (4, 4)), 3)
(((13, 5), (4, 1)), 27)FOOD
(((7, 4), (7, 4)), 0)FOOD
(((12, 3), (10, 4)), 3)
(((7, 4), (5, 1)), 31)FOOD
(((11, 5), (3, 1)), 30)
(((3, 3), (4, 1)), 35)
(((4, 3), (13, 4)), 10)
(((5, 1), (7, 4)), 31)FOOD
(((7, 3), (5, 1)), 30)
(((4, 1), (4, 4)), 35)FOOD
(((5, 1), (14, 5)), 27)FOOD
(((7, 3), (2, 1)), 33)
(((4, 3), (7, 4)), 4)
(((11, 5), (5, 1)), 28)
(((10, 4), (2, 1)), 31)FOOD
(((6, 5), (10, 4)), 5)
(((8, 3), (2, 1)), 32)
(((13, 5), (13, 4)), 1)FOOD
(((16, 4), (14, 5)), 7)
(((7, 1), (1, 4)), 35)
(((1, 4), (7, 4)), 8)FOOD
(((14, 5), (4, 1)), 28)FOOD
(((7, 1), (13, 5)), 24)
(((2, 3), (4, 4)), 3)
(((6, 5), (4, 1)), 34)
(((16, 4), (5, 1)), 20)
(((11, 5), (13, 4)), 3)
(((4, 3), (3, 1)), 35)
(((13, 3), (4, 4)), 10)
(((13, 1), (3, 1)), 10)
(((10, 4), (10, 4)), 0)FOOD
(((2, 3), (13, 5)), 13)
(((3, 3), (7, 4)), 5)
(((10, 5), (4, 4)), 7)
(((9, 5), (1, 4)), 9)
(((11, 1), (5, 1)), 6)
(((2, 5), (4, 4)), 3)
(((4, 1), (2, 1)), 2)FOOD
(((18, 2), (13, 4)), 11)
(((3, 5), (5, 1)), 36)
(((1, 1), (5, 1)), 4)FOOD
(((2, 3), (14, 5)), 14)
(((4, 5), (5, 1)), 35)
(((16, 1), (10, 4)), 17)
(((10, 5), (3, 1)), 31)
(((13, 5), (10, 4)), 4)FOOD
(((18, 4), (7, 4)), 15)
(((17, 5), (1, 5)), 20)
(((8, 5), (13, 5)), 5)
(((6, 5), (13, 4)), 8)
(((13, 3), (7, 4)), 7)
(((9, 3), (1, 4)), 9)Position
(((8, 1), (4, 1)), 4)
(((13, 1), (1, 1)), 12)
(((4, 4), (5, 1)), 34)FOOD
(((1, 3), (2, 1)), 39)
(((3, 1), (5, 1)), 2)FOOD
(((4, 5), (13, 5)), 9)
(((12, 5), (13, 4)), 2)
(((17, 5), (13, 5)), 8)
(((10, 1), (1, 5)), 33)
(((5, 3), (10, 4)), 6)
(((7, 4), (1, 1)), 35)FOOD
(((9, 1), (1, 4)), 33)
(((11, 3), (1, 4)), 11)
(((12, 3), (1, 5)), 13)
(((2, 1), (1, 5)), 41)FOOD
(((17, 5), (14, 5)), 9)
(((9, 1), (4, 1)), 5)
(((10, 5), (2, 1)), 32)
(((16, 1), (13, 5)), 15)
(((13, 5), (3, 1)), 28)FOOD
(((16, 5), (4, 1)), 20)
(((15, 3), (1, 4)), 15)
(((4, 1), (7, 4)), 32)FOOD
(((14, 3), (14, 5)), 4)
(((8, 1), (4, 4)), 31)
(((11, 1), (1, 5)), 32)
(((14, 5), (5, 1)), 27)FOOD
(((15, 1), (10, 4)), 18)
(((10, 4), (1, 1)), 32)FOOD
(((18, 3), (14, 5)), 12)
(((3, 5), (4, 4)), 2)
(((12, 5), (3, 1)), 29)
(((18, 2), (1, 1)), 18)
(((9, 1), (13, 4)), 21)
(((8, 5), (1, 1)), 35)
(((8, 5), (4, 1)), 32)
(((13, 3), (13, 5)), 2)
(((10, 1), (2, 1)), 8)
(((7, 3), (10, 4)), 4)
(((15, 3), (7, 4)), 9)
(((3, 5), (13, 5)), 10)
(((5, 1), (4, 1)), 1)FOOD
(((16, 1), (2, 1)), 14)
(((6, 3), (13, 5)), 9)
(((11, 3), (4, 4)), 8)
